School,Conference
notre-dame,ACC
boston-college,ACC
clemson,ACC
duke,ACC
florida-state,ACC
georgia-tech,ACC
louisville,ACC
miami,ACC
north-carolina-state,ACC
north-carolina,ACC
pittsburgh,ACC
syracuse,ACC
virginia,ACC
virginia-tech,ACC
wake-forest,ACC
baylor,Big 12
iowa-state,Big 12
kansas,Big 12
kansas-state,Big 12
oklahoma,Big 12
oklahoma-state,Big 12
tcu,Big 12
texas,Big 12
texas-tech,Big 12
west-virginia,Big 12
illinois,Big Ten
indiana,Big Ten
iowa,Big Ten
maryland,Big Ten
michigan-state,Big Ten
michigan,Big Ten
minnesota,Big Ten
nebraska,Big Ten
northwestern,Big Ten
ohio-state,Big Ten
penn-state,Big Ten
purdue,Big Ten
rutgers,Big Ten
wisconsin,Big Ten
arizona-state,Pacific-12
arizona,Pacific-12
california,Pacific-12
colorado,Pacific-12
oregon,Pacific-12
oregon-state,Pacific-12
stanford,Pacific-12
ucla,Pacific-12
usc,Pacific-12
utah,Pacific-12
washington,Pacific-12
washington-state,Pacific-12
alabama,SEC
arkansas,SEC
auburn,SEC
florida,SEC
georgia,SEC
kentucky,SEC
lsu,SEC
mississippi-state,SEC
missouri,SEC
ole-miss,SEC
south-carolina,SEC
tennessee,SEC
texas-am,SEC
vanderbilt,SEC
